WORD,POS_TAG,COUNT
저녁,NNG,5636
어쩌,VV,9313
지나,VV,8732
바람,NNG,3006
어제,MAG,4889
내일,NNG,339
다면,EC,12310
다이어트,NNG,5993
고맙,VA,7623
어야지,EF,1604
모양,NNG,6597
시장,NNG,6009
하고,JC,2078
힘,NNG,6386
공부,NNG,5106
동안,NNG,6465
바르,VV,4677
건강하,VA,4835
춥,VA,2373
조심하,VV,2691
세상,NNG,6936
찾아보,VV,7146
코로나,NNP,10702
남편,NNG,8232
수업,NNG,3111
따뜻하,VA,3324
만,NNB,8821
유명하,VA,8545
생활,NNG,6820
누나,NNG,1743
자전거,NNG,616
꿈,NNG,5557
젊,VA,3754
자고,EC,5210
백,NR,4071
두,VV,7318
달,NNB,6824
티비,NNG,3969
나라,NNG,6594
뒤,NNG,5375
으니,EC,10312
벌써,MAG,5958
그니까,MAJ,2538
시키,XSV,9257
혼자,NNG,1791
꽤,MAG,10870
야,IC,5453
스트레스,NNG,8462
이십,NR,6505
나무,NNG,2452
일본,NNP,3335
달,VX,4138
오,IC,10460
발,NNG,2018
아야지,EC,4863
도와주,VV,3366
모으,VV,4181
놓,VV,3488
아들,NNG,3448
매일,MAG,1899
끼,VV,4298
이상,NNG,6877
라서,EC,5663
저기,NP,2861
올리,VV,6399
아기,NNG,2923
고구마,NNG,4291
었었,EP,2692
씻,VV,3226
나누,VV,5160
특히,MAG,8103
아파트,NNG,2986
훨씬,MAG,6751
음악,NNG,6559
뜨,VV,5180
갑자기,MAG,7258
관심,NNG,6848
가을,NNG,6519
가르치,VV,5102
자신,NNG,9599
등,NNB,9511
뜨겁,VA,2645
어야지,EC,6425
붙,VV,3998
모든,MMN,7089
비슷하,VA,7670
하긴,MAJ,11443
시대,NNG,6893
결혼,NNG,2900
김치,NNG,4620
이사,NNG,2725
최고,NNG,7188
원래,MAG,4754
삼십,NR,5129
공,NNG,1603
그림,NNG,2737
시간,NNB,6111
다녀오,VV,4729
오히려,MAG,8150
묻,VV,4493
하,XSA,6659
일하,VV,6610
보기,NNG,11196
서로,MAG,5229
자리,NNG,4900
가방,NNG,1449
방,NNG,3104
물론,MAG,4351
으면서,EC,5586
붙이,VV,3402
버스,NNG,2863
뛰,VV,1986
영어,NNP,1726
하늘,NNG,4170
혹시,MAG,7313
가능하,VA,9534
마스크,NNG,7979
아라,EF,5170
아까,MAG,3194
이용하,VV,9708
거든,EC,8317
아마,MAG,5522
완전,MAG,7360
결혼하,VV,3059
일주일,NNG,6980
귀엽,VA,3799
바쁘,VA,5299
움직이,VV,4326
달,NNG,2651
대로,JX,4388
싫어하,VV,4092
없어지,VV,3578
요리,NNG,6513
래도,EC,6852
숙제,NNG,765
인간,NNG,9680
가격,NNG,7446
사회,NNG,7083
얘,NP,852
냐고,EC,5391
달리,VV,3000
대,NNG,7379
돌아가,VV,3838
맵,VA,2868
덥,VA,2060
저,MMD,3233
제대로,MAG,8382
도록,EC,7805
비행기,NNG,4395
자르,VV,1776
가져가,VV,955
내용,NNG,5072
만지,VV,882
키,NNG,1067
고민,NNG,7311
이것,NP,4959
당신,NP,3718
대,NNB,4633
지,NNB,6169
찌,VV,3082
며,EC,7173
저거,NP,1001
전화,NNG,4632
끼리,XSN,2167
이라도,JX,6349
이기,VV,1724
편이,NNG,10292
네,MMN,4404
ㄴ지,EC,528
대신,NNG,7014
풀,VV,4406
궁금하,VA,6559
목,NNG,3868
딸,NNG,2152
음,IC,8190
방학,NNG,251
똑같,VA,3452
낳,VV,3660
오,VX,3749
필요,NNG,5906
란,ETM,7267
멋있,VA,2740
열,VV,4535
직접,MAG,6056
심하,VA,6338
빠르,VA,3962
날씨,NNG,5207
서,VV,2967
먹기,NNG,9834
일찍,MAG,3867
감사하,VV,7300
라,EF,5786
벌,VV,4150
따,VV,1877
미국,NNP,5412
사이,NNG,6671
당연하,VA,7905
저희,NP,4770
혼나,VV,1039
문,NNG,2889
드리,VV,5920
통하,VV,5808
준서,NNP,1644
카드,NNG,2774
관리,NNG,4979
핸드폰,NNG,1640
사랑,NNG,7146
줄이,VV,7171
다양하,VA,7321
요새,NNG,1157
드리,VX,5054
깨끗하,VA,3462
뽑,VV,1199
점,NNG,5306
자동차,NNG,2247
돌,VV,2865
빨갛,VA,1286
떡볶이,NNG,5509
들리,VV,1766
신발,NNG,1951
코,NNG,1488
남,NNG,5170
서울,NNP,2739
사용하,VV,8076
믿,VV,5918
가깝,VA,4190
사실,NNG,5417
한국,NNP,4955
지키,VV,3200
정보,NNG,7979
시원하,VA,3682
끝,NNG,5328
애,EF,1783
피자,NNG,1082
정하,VV,4391
따로,MAG,5138
모습,NNG,5497
웃기,VV,4180
웃,VV,4272
함께,MAG,5372
물건,NNG,5996
언제,NP,5992
한데,NNG,9037
다치,VV,865
끓이,VV,4442
인터넷,NNG,5869
쯤,XSN,5210
그래도,MAJ,3687
보통,MAG,3312
는다,EF,4221
싸우,VV,2670
우선,MAG,7814
그만,MAG,1646
시골,NNG,2769
동네,NNG,3566
대단하,VA,6151
금방,MAG,3385
야구,NNG,2460
달라지,VV,7335
신,VV,1767
단,ETM,3050
동물,NNG,4459
아무리,MAG,6100
아이스크림,NNG,1114
상황,NNG,4796
약간,MAG,3647
담,VV,2570
제주도,NNP,2387
시험,NNG,2897
사과,NNG,3247
주로,MAG,4859
주변,NNG,5232
상태,NNG,6245
운동하,VV,3174
미리,MAG,5498
신기하,VA,4045
인형,NNG,992
넘어지,VV,345
새,MMA,2789
생각나,VV,5569
부모님,NNG,8579
다섯,NR,2474
노력하,VV,5325
모이,VV,3031
